ROTC,2801,
ROTC,2803,
ROTC,2805,
ROTC,2806,
Basic Skills and Developmental/Remedial Education.,3201,
Citizenship Activities.,3301,
Health-Related Knowledge and Skills.,3401,
Interpersonal and Social Skills.,3501,
Leisure and Recreational Activities.,3601,
GED programs,5301,
GED programs,5302,
Medical Residency Programs,6004,
Agriculture,0100,
Agriculture,0101,
Agriculture,0102,
Agriculture,0103,
Agriculture,0104,
Agriculture,0105,
Agriculture,0106,
Agriculture,0107,
Agriculture,0108,
Agriculture,0110,
Agriculture,0111,
Agriculture,0112,
Agriculture,0199,
Architecture,0402,
Architecture,0403,
Environmental Design,0404,
Interior Architecture,0405,
Landscape Architecture,0406,
Architecture,0408,
Architecture,0409,
Architecture,0410,
Architecture,0499,
Architecture,3012,
Construction Trades,4600,
Construction Trades,4601,
Construction Trades,4602,
Construction Trades,4603,
Construction Trades,4604,
Construction Trades,4605,
Construction Trades,4699,
Fashion Design,1909,
Religious/Sacred Music,3905,
General Visual & Performing Arts,5001,
Fine & Studio Arts,5002,
Dance,5003,
Design & Multimedia,5004,
Theatre,5005,
Film/Video & Photography,5006,
Fine & Studio Arts,5007,
Music,5009,
"Arts, Entertainment, and Media Management",5010,
General Visual & Performing Arts,5099,
Biochemistry,2602,
Biological and Physical Sciences,3001,
Biological Sciences,2601,
Biological Sciences,2603,
Biological Sciences,2604,
Biological Sciences,2605,
Biological Sciences,2608,
Biological Sciences,2609,
Biological Sciences,2610,
Biological Sciences,2611,
Biological Sciences,2613,
Biological Sciences,2699,
Biological Sciences,3011,
Biological Sciences,3027,
Neuroscience,3010,
Biotechnology,2612,
Biotechnology,4101,
Neuroscience,2615,
Neuroscience,3024,
Zoology/Animal Science,109,
Zoology/Animal Science,2607,
Zoology/Animal Science,5124,
Zoology/Animal Science,5125,
Paralegal & Legal Support Services,2203,
Paralegal & Legal Support Services,2299,
"Business, Management, Marketing",5201,
"Business, Management, Marketing",5202,
Accounting ,5203,
"Business, Management, Marketing",5204,
"Business, Management, Marketing",5205,
"Business, Management, Marketing",5206,
"Business, Management, Marketing",5207,
"Business, Management, Marketing",5208,
"Business, Management, Marketing",5210,
"Business, Management, Marketing",5211,
"Business, Management, Marketing",5212,
"Business, Management, Marketing",5213,
"Business, Management, Marketing",5214,
Real Estate,5215,
"Business, Management, Marketing",5216,
"Business, Management, Marketing",5217,
